"doi","date","times.cited"
"10.1128/AEM.02817-09","2010-03",37
"10.1128/AEM.02851-09","2010-03",35
"10.1128/AEM.02945-09","2010-03",23
"10.1128/AEM.02988-09","2010-03",36
"10.1128/AEM.03000-09","2010-03",12
"10.1128/JB.01219-09","2010-03",12
"10.1128/JB.01085-09","2010-04",10
"10.1128/JB.01503-09","2010-04",8
"10.1128/JB.01231-09","2010-04",94
"10.1128/JB.01310-09","2010-03",54
"10.1128/JB.01485-09","2010-04",36
"10.1128/JB.01542-09","2010-04",10
"10.1128/JB.01525-09","2010-03",22
"10.1128/IAI.01065-09","2010-04",55
"10.1128/IAI.00989-09","2010-04",32
"10.1128/IAI.01090-09","2010-04",27
"10.1128/IAI.01423-09","2010-04",77
"10.1128/MCB.01605-09","2010-04",23
"10.1128/MCB.01101-09","2010-03",133
"10.1128/AAC.00883-09","2010-04",40
"10.1128/MCB.01662-09","2010-02",2
"10.1128/JVI.02148-09","2010-04",64
"10.1128/JVI.00021-10","2010-04",10
"10.1128/JVI.01161-09","2010-04",104
"10.1128/JVI.01838-09","2010-04",5
"10.1128/JVI.02416-09","2010-04",27
"10.1128/JVI.02429-09","2010-04",39
"10.1128/JVI.02715-09","2010-04",20
"10.1128/CVI.00354-09","2010-03",8
"10.1128/CVI.00358-09","2010-04",15
"10.1128/CVI.00368-09","2010-04",51
"10.1128/CVI.00389-09","2010-04",19
"10.1128/CVI.00429-09","2010-04",19
"10.1128/CVI.00446-09","2010-04",22
"10.1128/JCM.02116-09","2010-04",41
"10.1128/JCM.01709-09","2010-04",54
"10.1128/JCM.01937-09","2010-04",30
"10.1128/JCM.01765-09","2010-04",25
"10.1128/JCM.02002-09","2010-04",77
"10.1128/JCM.02006-09","2010-04",36
"10.1128/JCM.02060-09","2010-04",13
"10.1128/JCM.02128-09","2010-04",16
"10.1128/JCM.02149-09","2010-04",37
"10.1128/JCM.02386-09","2010-04",20
"10.1128/JCM.02078-09","2010-02",7
"10.1128/JCM.02413-09","2010-02",0
"10.1128/EC.00226-09","2010-04",14
"10.1128/EC.00251-09","2010-04",14
"10.1128/EC.00321-09","2010-04",48
"10.1128/EC.00368-09","2010-04",12
"10.1128/JB.01322-09","2010-04",14
"10.1128/JB.01348-09","2010-04",22
"10.1128/JB.01438-09","2010-04",15
"10.1128/JB.01459-09","2010-04",36
"10.1128/AEM.00668-09","2010-03",55
"10.1128/JB.01471-09","2010-04",18
"10.1128/AEM.00737-09","2010-03",30
"10.1128/JB.01489-09","2010-04",27
"10.1128/AEM.01929-09","2010-04",17
"10.1128/JB.01616-09","2010-04",13
"10.1128/AEM.01926-09","2010-03",10
"10.1128/JB.01629-09","2010-04",10
"10.1128/JB.01620-09","2010-06",46
"10.1128/JB.01638-09","2010-04",3
"10.1128/JB.01667-09","2010-04",36
"10.1128/AEM.02126-09","2010-03",25
"10.1128/AEM.02197-09","2010-04",97
"10.1128/AEM.02323-09","2010-03",130
"10.1128/AEM.02349-09","2010-04",27
"10.1128/AEM.02350-09","2010-03",37
"10.1128/JB.01677-09","2010-04",19
"10.1128/JB.01679-09","2010-04",4
"10.1128/AEM.02606-09","2010-03",22
"10.1128/AEM.02384-09","2010-03",12
"10.1128/AEM.02692-09","2010-04",66
"10.1128/AEM.02462-09","2010-04",19
"10.1128/AEM.02518-09","2010-04",16
"10.1128/AEM.02897-09","2010-04",31
"10.1128/AEM.02580-09","2010-04",39
"10.1128/AEM.02895-09","2010-03",34
"10.1128/IAI.00002-10","2010-04",21
"10.1128/IAI.00621-09","2010-04",29
"10.1128/IAI.00731-09","2010-04",7
"10.1128/IAI.00736-09","2010-04",22
"10.1128/IAI.01079-09","2010-04",21
"10.1128/IAI.01114-09","2010-04",8
"10.1128/IAI.01135-09","2010-04",22
"10.1128/IAI.01172-09","2010-04",21
"10.1128/IAI.01260-09","2010-04",26
"10.1128/IAI.01356-09","2010-04",36
"10.1128/IAI.01395-09","2010-04",65
"10.1128/AAC.01480-09","2010-04",13
"10.1128/MCB.01047-09","2010-04",56
"10.1128/MCB.01060-09","2010-04",19
"10.1128/MCB.01116-09","2010-04",110
"10.1128/AAC.01219-09","2010-04",14
"10.1128/AAC.01380-09","2010-04",7
"10.1128/AAC.01506-09","2010-04",32
"10.1128/JVI.02471-09","2010-04",37
"10.1128/JVI.02289-09","2010-04",39
"10.1128/JVI.01321-09","2010-04",42
"10.1128/JVI.01450-09","2010-04",28
"10.1128/JVI.01566-09","2010-04",29
"10.1128/JVI.01994-09","2010-04",35
"10.1128/JVI.01693-09","2010-04",18
"10.1128/JVI.02012-09","2010-04",38
"10.1128/JVI.02014-09","2010-04",27
"10.1128/JVI.02085-09","2010-04",28
"10.1128/JVI.02078-09","2010-04",74
"10.1128/JVI.02088-09","2010-04",15
"10.1128/JVI.02220-09","2010-04",49
"10.1128/JVI.02522-09","2010-04",9
"10.1128/JVI.02528-09","2010-04",39
"10.1128/JVI.02543-09","2010-04",15
"10.1128/JVI.02565-09","2010-04",32
"10.1128/JVI.02631-09","2010-04",29
"10.1128/JVI.02634-09","2010-04",93
"10.1128/JVI.02638-09","2010-04",8
"10.1128/JVI.02687-09","2010-04",76
"10.1128/JCM.00475-09","2010-05",10
"10.1128/JCM.01517-09","2010-04",9
"10.1128/JCM.01532-09","2010-04",28
"10.1128/JCM.02214-09","2010-04",31
"10.1128/JCM.02274-09","2010-04",30
"10.1128/JCM.02123-09","2010-04",41
"10.1128/JCM.02289-09","2010-04",13
"10.1128/JCM.02484-09","2010-04",11
"10.1128/CVI.00441-09","2010-04",16
"10.1128/JB.01357-09","2010-04",15
"10.1128/JB.01458-09","2010-04",18
"10.1128/JB.01659-09","2010-04",60
"10.1128/JB.01693-09","2010-04",2
"10.1128/JB.01673-09","2010-04",19
"10.1128/EC.00010-10","2010-04",8
"10.1128/EC.00253-09","2010-04",72
"10.1128/EC.00333-09","2010-04",35
"10.1128/AEM.01092-09","2010-04",9
"10.1128/AEM.01861-09","2010-04",10
"10.1128/AEM.02430-09","2010-04",52
"10.1128/AEM.02777-09","2010-04",21
"10.1128/AEM.02923-09","2010-04",15
"10.1128/AEM.03017-09","2010-04",26
"10.1128/JVI.00047-10","2010-05",2
"10.1128/JVI.01549-09","2010-04",61
"10.1128/JVI.01553-09","2010-04",41
"10.1128/JVI.01567-09","2010-05",8
"10.1128/JVI.01815-09","2010-04",19
"10.1128/JVI.01911-09","2010-05",14
"10.1128/JVI.02068-09","2010-04",44
"10.1128/JVI.02141-09","2010-05",13
"10.1128/JVI.02117-09","2010-04",7
"10.1128/JVI.02214-09","2010-05",11
"10.1128/JVI.02280-09","2010-05",51
"10.1128/JVI.02291-09","2010-04",31
"10.1128/JVI.02357-09","2010-05",54
"10.1128/JVI.02421-09","2010-05",64
"10.1128/JVI.02437-09","2010-05",6
"10.1128/JVI.02456-09","2010-05",12
"10.1128/JVI.02467-09","2010-04",30
"10.1128/JVI.02502-09","2010-04",32
"10.1128/JVI.02511-09","2010-05",9
"10.1128/JVI.02554-09","2010-05",49
"10.1128/JVI.02573-09","2010-04",30
"10.1128/JVI.02597-09","2010-04",94
"10.1128/CVI.00372-09","2010-04",12
"10.1128/CVI.00433-09","2010-04",6
"10.1128/CVI.00444-09","2010-04",6
"10.1128/CVI.00495-09","2010-04",7
"10.1128/CVI.00518-09","2010-04",9
"10.1128/JCM.00153-10","2010-04",3
"10.1128/JCM.01009-09","2010-04",9
